cluster,leading_singular,second_singular
0,1117.4454429780185,
1,372.5405961984131,
2,1978.0848683282077,
3,299.886770454201,
4,633.4145384084496,
5,1030.1038848928715,
6,1857.3274191814696,
7,598.2151483782252,
8,665.1989951107003,
9,768.0472801014555,
10,1071.5657200097787,
11,656.7862018459665,
12,3165.5012007234936,
13,682.9624829607129,
14,330.4851039159794,
15,1671.3740379971546,
16,1203.7616810955753,
17,837.6405105564673,
18,521.8705378362031,
19,625.4008743474818,
20,3932.25262955417,
21,400.66195215468355,
22,516.8190875839398,
23,2489.1871753020514,
24,530.9701357431542,
25,183.84057957216325,
26,615.6924809726117,
27,5337.084182992148,
28,1552.4456081853189,
29,3722.598100843097,
30,2462.939696262386,
31,5503.147594268473,
32,505.8234829247014,
33,384.6583286814001,
34,4903.223691355407,
35,168.00802364256603,
36,195.65299085389026,
37,3341.9267159822707,
38,1934.2797745844557,
39,1711.0409282262979,
40,429.1247066521177,
41,210.0149898029866,
42,301.2543287638695,
43,1405.8466769342695,
44,1881.9709047110562,
45,2784.226660864243,
46,700.4888314789775,
47,367.0258846457562,
48,3792.7866518897126,
49,159.8550140260104,
50,312.64900381273674,
51,614.9598177245146,
52,3574.961924731466,
53,810.9545516979499,
54,364.30899077196625,
55,575.7314865359688,
56,611.6865110878852,
57,261.3285313883507,
58,2441.2575588712975,
59,254.33263279044428,
60,327.0279122896463,
61,477.0341353999239,
62,684.5842926122332,
63,1705.2845697396845,
64,820.2020938346229,
65,1834.5397881255742,
66,759.9120240908981,
67,1982.55688595011,
68,137.15600823815583,
69,872.7337116322111,
70,2276.963689381528,
71,214.52756408020628,
72,1017.570196382364,
73,1648.5749659587561,
74,692.4552258882411,
75,1105.5727972315162,
76,42.652428834118524,
77,1323.1847092948142,
78,916.0266612905525,
79,666.8592796092827,
80,639.0139029009911,
81,391.85821832616836,
82,1221.2237402879719,
83,1103.6329102148393,
84,741.4937732555652,
85,148.98511349144775,
86,200.751170094066,
87,1493.7118607305429,
88,338.30580479970183,
89,1413.942209887534,
90,102.54046792892582,
91,127.08528621535444,
92,70.17473552638158,
93,1522.2470361339583,
94,273.96628106419524,
95,2387.3930383898305,
96,570.2924371887898,
97,1173.0899603429946,
98,1113.412972198723,
99,101.37532174656518,
100,503.88271025255824,
101,116.20078171293689,
102,479.20477901211143,
103,915.534306548153,
104,270.8946121153777,
105,1893.1078429317472,
106,292.6829816915415,
107,200.89250445614516,
108,1786.4717528539925,
109,172.69640448406236,
110,71.70698143777174,
111,277.8852616332316,
112,2364.8422695126756,
113,55.64792464106251,
114,329.49383989069315,
115,890.6072490313826,
116,396.3401697680377,
117,477.688523992866,
118,113.62866646960114,
119,202.23792147841294,
120,1287.025388256999,
121,1169.036886365118,
122,593.2410521384927,
123,1530.041682614918,
124,871.2212372167065,
125,2685.548246501786,
126,254.4557979939348,
127,267.94472713150554,
128,256.93385541609643,
129,907.9628154043236,
130,812.6561422568068,
131,307.61318678377097,
132,617.380581973684,
133,2156.1180680231223,
134,141.08875652890188,
135,437.54357644231715,
136,871.3200280425166,
137,112.40320653706107,
138,1503.174092125925,
139,352.0126105387834,
140,1086.1749841002913,
141,931.5855628649781,
142,1295.6565364708479,
143,1367.8168101367153,
144,787.3068079245967,
145,1687.3625722388113,
146,5216.121911366085,
147,525.9428392224133,
148,102.5048242128649,
149,52.217038960530196,
150,202.06232613279292,
151,507.4100503153613,
152,208.4368479062518,
153,169.96814193125044,
154,2544.4880224531885,
155,512.8563453813209,
156,642.1257751208673,
157,64.25917272300458,
158,1165.6218483829598,
159,3197.1235703737066,
160,19.85820473655941,
161,452.7108521461222,
162,110.79476323160239,
163,1884.1546814357962,
164,691.5347146744266,
165,596.8234378112753,
166,748.0414252078252,
167,587.2667760026254,
168,1131.8859346668316,
169,31.054752809828592,
170,167.9338858034778,
171,395.2765951720613,
172,1538.4948747137335,
173,192.55955282750762,
174,499.67225927617864,
175,477.7584429933615,
176,511.9160012253605,
177,46.704127534734965,
178,1042.8179854112732,
179,101.69120347874822,
180,4609.080771094048,
181,1925.9002339836975,
182,728.2846779519014,
183,504.58407548392995,
184,199.88965533010904,
185,174.45847764436607,
186,104.26860646895899,
187,2253.5762456821435,
188,2359.015268773965,
189,174.761129357251,
190,671.1301606277952,
