cluster_id,topic_importance
13,180917016.65791833
9,26654732.541412912
74,13945854.846796373
29,9866466.361555316
6,6907234.260421942
22,5948936.402744421
3,5812131.692122621
198,4160176.906033838
38,3739585.78897154
32,3683219.523504728
71,3390379.83133485
5,2320746.5530558103
68,1936101.9455655124
69,1837427.2594360383
89,1712907.814573788
67,1704231.117549305
43,1665673.4729913594
47,1630833.1054992788
33,1613918.5802189822
0,1496508.9130256686
