cluster,leading_importance,second_importance
0,6554651.345891627,
1,20125585.16851991,
2,2807735.418913718,
3,15719201.130437734,
4,2344586.5189890997,
5,2303451.587530896,
6,12913230.044730257,
7,1919617.9972033442,
8,73114192.7508887,
9,1463094.2191591396,
10,1753514.3719868022,
11,8124384.336663416,
12,3067900.1854872433,
13,9413297.540774088,
14,3167424.4901406337,
15,80313472.53411418,
16,242489.52508683308,
17,890599.2251957332,
18,943157.3667097412,
19,6171843.200155859,
20,23247635.999120384,
21,3329365.194721389,
22,24925342.097435094,
23,8814589.035661124,
24,4040177.866696798,
25,4761851.209332172,
26,6931494.764109331,
27,672741.4893377839,
28,695798.9645448222,
29,39268795.86041397,
30,208223.75126635356,
31,30011576.736797437,
32,132007351.86456774,
33,3120812.1948084347,
34,1135315.3161107034,
35,4377477.919517009,
36,6532195.522140883,
37,5018962.584717365,
38,12328149.742251461,
39,1134901.8637092216,
40,2629698.246536585,
41,125705423.72822909,
42,350648.666977269,
43,1286040.6944284064,
44,53200032.19933916,
45,8733682.905865364,
46,181841782.64954615,
47,404060.4111582088,
48,92577.9403258247,
49,4742531.652380021,
50,15789388.68293372,
51,882635.6327997165,
52,34665.02108106188,
53,84416514.93328732,
54,1466111.5820172005,
55,1240504.6063428908,
56,83712.42050689878,
57,11455911.292308882,
58,1145382.3814589735,
59,809936.4409643337,
60,1615335.083111816,
61,1574652.4652644615,
62,4096536.231576466,
63,13855049.549744459,
64,879612.8508372457,
65,3966801.1029069824,
66,878692.615529465,
67,499468.962543168,
68,4178719.509919989,
69,15008345.44918384,
70,3564301.2339811493,
71,155046.55582047172,
72,2944965.9773700824,
73,10469986.44337954,
74,4596758.314696345,
75,11944483.872134328,
76,12145266.424963923,
77,679226.2246653761,
78,13194769.009586569,
79,3334186.515237269,
80,5444.936763635518,
81,1100161.5021825898,
82,1921592.3278752323,
83,3000833.0252010473,
84,803429.2132094004,
85,6495275.161941078,
86,1166894.8420239394,
87,1097992.0755772037,
88,2317232.9182483833,
89,15278853.714118183,
90,437162.5844661353,
91,3592633.2218356007,
92,18478008.808130104,
93,131829.98029506902,
94,374899.2934055662,
95,7074847.0329325395,
96,10143186.249347636,
97,1308729.5461987525,
98,22284726.598507464,
99,3512708.59642018,
100,35266245.82095967,
101,623017.9609689969,
102,1133046.781915272,
103,27668.495016708574,
104,882541.0410379269,
105,9061001.038100012,
106,84031.1678698143,
107,937859.2763633984,
108,1684996.9043843942,
109,19030190.285456926,
110,1230396.1577693622,
111,8686291.875825878,
112,3419140.420776193,
113,258570.02036839456,
114,11466340.98221433,
115,22837797.695983533,
116,8487.357999326332,
117,659965.354025149,
118,1749622.3697360102,
119,409163.9205997766,
120,123819046.96759406,
121,9289077.229894591,
122,66236.47538490625,
123,672002.9112434626,
124,10804511.111289132,
125,7242390.248390285,
126,689042.2265974357,
127,114552.75752825467,
128,183926055.64010888,
129,38228622.94690092,
130,217316.16632212064,
131,17265273.005704455,
132,4172512.2033003415,
133,339263.34665043413,
134,1589343.9390745524,
135,261045.452619649,
136,3121710.9148472766,
137,2864978.169312569,
138,4237010.905421366,
139,205639.27938515594,
140,504308.2414695023,
141,2162186.3255966785,
142,135854.96517312594,
143,9597000.536791245,
144,8609832.474693071,
145,571547.5647622396,
146,60603689.054805,
147,246038.73352666566,
148,656158.5744537954,
149,1201483.174962363,
150,4304179.908693615,
151,29393572.29694342,
152,791852.6699677896,
153,995144.8700554469,
154,3264999.8332955022,
155,560583.0014449414,
156,154802.79307778968,
157,4296147.0212547155,
158,14412.49733411863,
159,557937.4950793264,
160,467344.6332166959,
161,1519342.3877528207,
162,431490.4206579602,
163,4217795.725061062,
164,841875.1404750672,
165,2068508.7941486684,
166,1071670.9169997813,
167,33666.03006848474,
168,20605.18191395707,
169,90564.5248291567,
170,37237.385256162335,
171,4881176.920668026,
172,120843.71119686001,
173,4306516.077586231,
175,10440780.324863663,
176,137077.82656141795,
177,3220405.951668941,
178,1032164.8625184143,
179,319608.6313106075,
180,45388.54441171606,
181,1491398.9170694626,
182,2875642.203447003,
183,76580.28310640108,
184,5936.684275880761,
185,346373.3431027091,
186,583192.8874776247,
187,19991.727638042947,
188,263915.2626577795,
189,26452239.051729042,
190,1012106.9588487983,
191,31144213.02369032,
192,4497497.712877379,
193,8582.91475084275,
194,312886.17528085044,
195,126955.56624774991,
196,969671.0791246028,
197,4145892.800999312,
198,464550.3512139065,
199,11220393.991453746,
200,395872.10153020616,
201,485597.4111610102,
202,316471.2082438311,
203,55739.61706407524,
204,369749.22356919345,
205,428072.6439291691,
206,686224.1059602151,
207,487744.6369546468,
208,22738142.81626704,
209,270334.4175757228,
210,46004.72921682169,
211,36036.24408335307,
212,1515275.9389435742,
213,13695006.317875173,
214,4617.105256305658,
215,128414.1905332943,
216,3483321.2848036564,
217,10557893.232503094,
218,100863.5287767364,
219,22575311.18265464,
220,20084.110026717113,
221,630964.6121075848,
222,5889977.145300258,
223,40540.636916944786,
224,111001.34744946571,
225,76092.58220396221,
226,474416.98584965285,
227,480047.1947314254,
228,38695.00090221864,
229,33164.01731350082,
230,50271.2750868843,
231,2312502.31788914,
232,1258640.972657236,
233,2979.318871715524,
234,90063.32898725015,
235,1011823.9618118465,
236,123932.80140596254,
237,6022398.250131283,
238,240386.94656149452,
239,1501245.9614766792,
240,25399381.931560047,
241,856924.1856406357,
242,241611.77595450386,
243,604886.2926191976,
244,1225430.7098529576,
245,327446.53718553577,
246,32357.01636721011,
247,26783.66057006323,
248,183185.1501843447,
249,611685.1292384577,
250,91099.94879238997,
251,7849550.421260293,
252,426768.4773981923,
253,15046438.785252333,
254,915677.830673014,
255,37278.43782707329,
256,239111.1540986225,
257,164584.9968717094,
258,145188.85016800847,
259,2523306.1940724137,
260,116130.18748189243,
262,6932.248567739537,
264,421601.0693376129,
265,14955440.985920131,
266,7190919.786523656,
267,12544227.720959933,
268,83510.09515787379,
269,28939.29121620346,
270,59782.85723372372,
271,112257.17121365697,
272,265570.8685863084,
273,269784.9509490415,
274,18514.11595795262,
275,18240.78221569488,
277,48164.70327587972,
278,1014.3630985577823,
279,1690560.4811186485,
280,3082437.6896697427,
281,171560.57889135028,
282,68307.98430354043,
283,216675.94243472078,
284,16246.36551104658,
285,26081.499408875752,
286,977.5987329670659,
287,54247.15394039316,
288,157796.03030935006,
289,2137461.483531603,
290,21370230.07591407,
291,74579.86156276894,
292,136417.1785697368,
293,705467.9738181513,
294,206744.1145755752,
296,107189.65251622433,
297,1644624.4132458102,
298,287241.1397161084,
299,1371402.4295720824,
300,20213.382165519117,
301,255186.5411915892,
302,4315.366092510483,
303,220466.85183602205,
304,243519.81736152165,
305,213503.5581431438,
306,7866.962646173382,
308,9729.448506478762,
309,1169.5369259654192,
310,107050.88194023259,
311,58063.188871114355,
312,16729.60474200221,
313,1040095.5227164319,
314,45821.31348061027,
315,717361.2165683662,
316,148163.11774108594,
317,139668.9310818659,
318,34719.46793404067,
320,470.23897321816605,
322,27366.800403178873,
323,112870.19148026087,
325,21890.6867308567,
326,1185251.2616250822,
328,2406.337208184511,
329,97836.21145396799,
330,64233.67652151931,
331,21752.534978134645,
333,555905.3491370954,
334,24668.942095405942,
335,42121.67963235287,
336,51956.800650855046,
337,391936.20259285683,
338,749753.8040190107,
339,110497.25891927812,
341,52109.65685900202,
342,1616296.1853230016,
343,6338.737943795993,
344,449254.7342520494,
345,2912723.990418944,
346,11837.241472283098,
347,738157.8658615121,
348,3480.40104270416,
349,83342.58119777865,
352,501508.45604760677,
353,133914.59660006358,
354,74175.79442285051,
355,386562.9713711954,
356,1486960.139745705,
357,11867.737920716483,
359,47990.33265110377,
361,174299.7120567423,
363,23352.97445348521,
364,15317.956893848683,
365,403818.73371160345,
367,4965.784526697159,
369,115.11239871989109,
370,14935.362848355364,
371,311273.79313479527,
372,271444.5316885476,
373,783403.6676896721,
374,464.6681329136258,
375,1097396.7438377324,
376,16385.536525162643,
378,3609.2416100892997,
379,7300.381672475154,
380,64192.126514168165,
384,42011.86894984763,
386,110692.07361597498,
387,17404.538701290174,
388,653822.1953119164,
389,821903.7625422964,
392,2698.128297099773,
393,14752.649104562059,
394,5135447.445308976,
396,15716.52811437454,
400,1945.044142089745,
401,1174852.6730756161,
402,22481.53689316015,
403,39959.40576324283,
405,10587.233753302953,
406,31847.70038305481,
409,236384.8422613835,
410,335.8886345216564,
413,2231.401905910593,
414,14374.93191138098,
415,264329.1204172894,
416,32353.1280751678,
417,50964.29080180127,
418,53082.011049771005,
419,27667.889343430208,
420,45363.95851979479,
421,2881.1393226336286,
422,24222.088932042585,
423,552662.8521963903,
424,1367.5893635643029,
425,2946.5279326387326,
426,35852.696645115,
427,14217.784159612971,
429,99825.20114048815,
433,443.7419912410393,
