quarter,adjR2_controls,adjR2_full,delta_adjR2,z_score
1997Q2,0.5873562196398726,0.5873562196398726,0.0,0.21869635597855636
1997Q3,0.09765603227619868,0.09765603227619868,0.0,0.21869635597855636
1997Q4,0.10068597765419585,0.10068597765419596,1.1102230246251565e-16,0.80188663858804
1998Q1,0.12839113973195682,0.12839113973195682,0.0,0.21869635597855636
1998Q2,0.08650503580285374,0.08650503580285374,0.0,0.21869635597855636
1998Q3,0.07488594745218824,0.07488594745218824,0.0,0.21869635597855636
1998Q4,-0.02274083659549664,-0.02274083659549664,0.0,0.21869635597855636
1999Q1,0.47141186005275304,0.47141186005275326,2.220446049250313e-16,1.3850769211975236
1999Q2,-0.021638218330767955,-0.021638218330767733,2.220446049250313e-16,1.3850769211975236
1999Q3,0.31080869338011674,0.31080869338011674,0.0,0.21869635597855636
1999Q4,-0.03355945702427676,-0.03355945702427654,2.220446049250313e-16,1.3850769211975236
2000Q1,-0.0052388469446271735,-0.0052388469446273955,-2.220446049250313e-16,-0.947684209240411
2000Q2,0.04848036137446865,0.048480361374468095,-5.551115123125783e-16,-2.697255057068862
2000Q3,0.33292533955014647,0.33292533955014647,0.0,0.21869635597855636
2000Q4,-0.0041877824441933775,-0.0041877824441936,-2.220446049250313e-16,-0.947684209240411
2001Q1,0.01480535630317592,0.01480535630317592,0.0,0.21869635597855636
2001Q2,0.22134668611795538,0.22134668611795538,0.0,0.21869635597855636
2001Q3,0.2714018553032165,0.2714018553032167,2.220446049250313e-16,1.3850769211975236
2001Q4,0.0035714825309064446,0.0035714825309063336,-1.1102230246251565e-16,-0.3644939266309273
2002Q1,-0.013318398864798464,-0.013318398864798686,-2.220446049250313e-16,-0.947684209240411
2002Q2,0.1333971831637608,0.1333971831637607,-1.1102230246251565e-16,-0.3644939266309273
2002Q3,0.15074096471993748,0.15074096471993748,0.0,0.21869635597855636
2002Q4,-0.0022423012006524967,-0.002242301200652941,-4.440892098500626e-16,-2.1140647744593783
2003Q1,0.04258114288980752,0.04258114288980752,0.0,0.21869635597855636
2003Q2,0.006870850302407194,0.006870850302407194,0.0,0.21869635597855636
2003Q3,0.12016179167063923,0.12016179167063923,0.0,0.21869635597855636
2003Q4,-0.00505462784100863,-0.00505462784100863,0.0,0.21869635597855636
2004Q1,0.028924294811027873,0.028924294811027762,-1.1102230246251565e-16,-0.3644939266309273
2004Q2,0.036200246100765776,0.036200246100765665,-1.1102230246251565e-16,-0.3644939266309273
2004Q3,0.30791426978250835,0.30791426978250835,0.0,0.21869635597855636
2004Q4,0.4415660389922915,0.4415660389922914,-1.1102230246251565e-16,-0.3644939266309273
2005Q1,0.20893148275808027,0.2089314827580805,2.220446049250313e-16,1.3850769211975236
2005Q2,0.4236167067451425,0.4236167067451426,1.1102230246251565e-16,0.80188663858804
2005Q3,0.42420102489625755,0.42420102489625755,0.0,0.21869635597855636
2005Q4,0.7458589197265153,0.7458589197265153,0.0,0.21869635597855636
2006Q1,0.4431839526920712,0.44318395269207134,1.1102230246251565e-16,0.80188663858804
2006Q2,0.43036318338520685,0.43036318338520696,1.1102230246251565e-16,0.80188663858804
2006Q3,0.5776347681048111,0.5776347681048111,0.0,0.21869635597855636
2006Q4,0.13209339249796415,0.13209339249796415,0.0,0.21869635597855636
2007Q1,0.02248402113357917,0.02248402113357917,0.0,0.21869635597855636
2007Q2,0.2027032939355382,0.202703293935538,-2.220446049250313e-16,-0.947684209240411
2007Q3,0.22431432639405957,0.2243143263940599,3.3306690738754696e-16,1.9682672038070073
2007Q4,0.269849282386039,0.269849282386039,0.0,0.21869635597855636
2008Q1,0.7437657586606011,0.743765758660601,-1.1102230246251565e-16,-0.3644939266309273
2008Q2,0.3580320308124594,0.35803203081245905,-3.3306690738754696e-16,-1.5308744918498947
2008Q3,0.4223453471887587,0.4223453471887586,-1.1102230246251565e-16,-0.3644939266309273
2008Q4,0.0790405587291032,0.07904055872910354,3.3306690738754696e-16,1.9682672038070073
2009Q1,0.6227671292221817,0.6227671292221817,0.0,0.21869635597855636
2009Q2,0.010588802785316598,0.010588802785316265,-3.3306690738754696e-16,-1.5308744918498947
2009Q3,0.18311312040085026,0.18311312040085037,1.1102230246251565e-16,0.80188663858804
2009Q4,0.37251936838651,0.37251936838651,0.0,0.21869635597855636
2010Q1,-0.005158925890118127,-0.005158925890118127,0.0,0.21869635597855636
2010Q2,0.17466930795180646,0.17466930795180646,0.0,0.21869635597855636
2010Q3,0.024309919426048987,0.024309919426048765,-2.220446049250313e-16,-0.947684209240411
2010Q4,0.5222729124029938,0.5222729124029937,-1.1102230246251565e-16,-0.3644939266309273
2011Q1,0.6769828954816977,0.6769828954816977,0.0,0.21869635597855636
2011Q2,0.4407870405007679,0.44078704050076767,-2.220446049250313e-16,-0.947684209240411
2011Q3,0.4535174650629581,0.4535174650629581,0.0,0.21869635597855636
2011Q4,0.8026347558602076,0.8026347558602076,0.0,0.21869635597855636
2012Q1,0.8097132565674374,0.8097132565674374,0.0,0.21869635597855636
2012Q2,0.3275159618847673,0.3275159618847676,3.3306690738754696e-16,1.9682672038070073
2012Q3,0.7902266987116324,0.7902266987116324,0.0,0.21869635597855636
2012Q4,0.668584994396914,0.668584994396914,0.0,0.21869635597855636
2013Q1,0.5819139304945478,0.5819139304945475,-2.220446049250313e-16,-0.947684209240411
2013Q2,0.10557378643246529,0.10557378643246529,0.0,0.21869635597855636
2013Q3,0.636884854745279,0.6368848547452788,-2.220446049250313e-16,-0.947684209240411
2013Q4,0.6952341980937906,0.6952341980937908,2.220446049250313e-16,1.3850769211975236
2014Q1,0.7783848304504926,0.7783848304504927,1.1102230246251565e-16,0.80188663858804
2014Q2,0.6123626106252356,0.6123626106252356,0.0,0.21869635597855636
2014Q3,0.7904615263722173,0.7904615263722173,0.0,0.21869635597855636
2014Q4,0.7962882883266917,0.7962882883266917,0.0,0.21869635597855636
2015Q1,0.7205665833130849,0.7205665833130848,-1.1102230246251565e-16,-0.3644939266309273
2015Q2,0.4278133738854798,0.4278133738854798,0.0,0.21869635597855636
2015Q3,0.5516360137534873,0.5516360137534873,0.0,0.21869635597855636
2015Q4,0.2544554537755809,0.2544554537755809,0.0,0.21869635597855636
2016Q1,0.7407088943799733,0.7407088943799733,0.0,0.21869635597855636
2016Q2,0.5577531763753758,0.5577531763753758,0.0,0.21869635597855636
2016Q3,0.8820933837033514,0.8820933837033516,1.1102230246251565e-16,0.80188663858804
2016Q4,0.7974214352917356,0.7974214352917357,1.1102230246251565e-16,0.80188663858804
2017Q1,0.217499686384242,0.2174996863842421,1.1102230246251565e-16,0.80188663858804
2017Q2,0.8506389681345558,0.8506389681345558,0.0,0.21869635597855636
2017Q3,0.5818534407231584,0.5818534407231581,-2.220446049250313e-16,-0.947684209240411
2017Q4,0.4584268482406375,0.4584268482406375,0.0,0.21869635597855636
2018Q1,0.3425449719296596,0.3425449719296596,0.0,0.21869635597855636
2018Q2,0.6812822705858513,0.6812822705858513,0.0,0.21869635597855636
2018Q3,0.7291472555324536,0.7291472555324536,0.0,0.21869635597855636
2018Q4,0.7346543807025969,0.7346543807025969,0.0,0.21869635597855636
2019Q1,0.6893094519167687,0.6893094519167687,0.0,0.21869635597855636
2019Q2,0.7157962622498234,0.7157962622498234,0.0,0.21869635597855636
2019Q3,0.7274601706859303,0.7274601706859303,0.0,0.21869635597855636
2019Q4,0.3427576239757325,0.3427576239757324,-1.1102230246251565e-16,-0.3644939266309273
2020Q1,0.677871387185282,0.677871387185282,0.0,0.21869635597855636
2020Q2,0.6848944877115843,0.6848944877115843,0.0,0.21869635597855636
2020Q3,0.676707556730733,0.6767075567307328,-2.220446049250313e-16,-0.947684209240411
2020Q4,0.6560148300849116,0.6560148300849116,0.0,0.21869635597855636
2021Q1,0.7421067289783683,0.7421067289783683,0.0,0.21869635597855636
2021Q2,0.6370730426170748,0.6306789627119551,-0.006394079905119643,-33587533172925.57
2021Q3,0.6506982364910002,0.6443989794173726,-0.006299257073627662,-33089437270849.402
2021Q4,0.45443918256374005,0.4422421410435956,-0.012197041520144447,-64069974530876.29
2022Q1,0.7056160762286317,0.7054316594863768,-0.00018441674225488924,-968724748523.7202
2022Q2,0.6613891198949973,0.6534669003536342,-0.007922219541363074,-41614714798243.18
2022Q3,0.767428305128255,0.7716320545702109,0.004203749441955895,22081922016537.79
2022Q4,0.35063000814912226,0.3476197173448212,-0.0030102908043010412,-15812789916600.422
2023Q1,0.4225099552422893,0.46289489248402504,0.04038493724173575,212138484257485.38
2023Q2,0.6232272250039896,0.6297971692968825,0.006569944292892815,34511333163842.32
2023Q3,0.5322424609602805,0.5276440253978767,-0.004598435562403802,-24155173111323.195
2023Q4,0.2280915388975131,0.19803690877369295,-0.030054630123820147,-157874299549425.78
2024Q1,0.26131406391921297,0.2572123410296364,-0.004101722889576553,-21545985609202.72
2024Q2,0.2271255520974509,0.20254661799779405,-0.024578934099656835,-129110955239451.64
2024Q3,0.42946894795705726,0.4411137782121588,0.011644830255101546,61169257858843.72
2024Q4,0.4386660116266031,0.45099759639251014,0.012331584765907011,64776718237133.03
