cluster,leading_singular,second_singular
0,1163.3222316653223,
1,209.73958135791378,
2,314.60158599635724,
3,531.5342637731903,
4,221.40485176498453,
5,723.0186100241242,
6,1249.6925233351283,
7,185.67222341670302,
8,331.38485362872404,
9,2458.2474724766266,
10,429.1617001436409,
11,265.9858145581335,
12,515.0752445250561,
13,6246.831250332206,
14,322.272542008799,
15,518.4795692049444,
16,570.0155935167536,
17,310.64485445342154,
18,246.08157249828855,
19,376.3741632089496,
20,255.23494632299878,
21,516.4248774945693,
22,1169.5377791175958,
23,440.6981769825071,
24,213.19477983032846,
25,145.20400411987666,
26,294.04095111739207,
27,385.9146260349368,
28,358.38948064551124,
29,1460.0657409606167,
30,225.51005975847107,
31,144.92325144522212,
32,971.941510979844,
33,510.2435410973404,
34,423.89496938399344,
35,249.30399540566034,
36,363.9972344517047,
37,166.58445453722499,
38,884.9125642622481,
39,192.4445874203687,
40,470.1473156734744,
41,462.20867985133873,
42,307.1785683789599,
43,611.7344191310773,
44,258.74332392986065,
45,462.3025705743247,
46,242.05208511576706,
47,586.1143362412978,
48,207.53115906330805,
49,145.098233841994,
50,394.32702763131175,
51,106.35575899389913,
52,623.5026377763288,
53,123.50236169220462,
54,78.89293905320199,
55,476.07724153603647,
56,118.47810786562843,
57,423.26603817739004,
58,385.1229198961294,
59,56.81414072912252,
60,337.1212939552905,
61,184.53770703285534,
62,146.78014589756356,
63,201.28336543920457,
64,19.21407151207645,
65,161.83280424375315,
66,84.7322212385102,
67,618.8843492943581,
68,637.7130497223358,
69,682.1401847559404,
70,540.2879930842605,
71,852.5383089125164,
72,315.92109002613495,
73,75.72612879428786,
74,1714.9979087091224,
75,554.1996199427755,
76,87.59655459155574,
77,106.29785952515493,
78,152.44862924368076,
79,95.12911446066063,
80,70.7215749022916,
81,77.24687038746436,
82,283.39227537773985,
83,366.68535149595976,
84,43.905605745889126,
85,73.2545587561537,
86,97.60809656760908,
87,665.5665597548114,
88,451.08087390175587,
89,609.3722979583753,
90,347.69877394487986,
91,72.0402947225553,
92,238.45226251357116,
93,107.98661690152646,
94,53.032902214417206,
95,192.29306043542775,
96,45.62587296844745,
97,121.3839045183182,
98,119.43081595525248,
99,227.16197312879757,
100,280.7349331187338,
101,119.85157452260748,
102,206.67977316984886,
103,108.13068474180018,
104,122.13903409736095,
105,225.00146746906458,
106,31.200329673153522,
107,21.457311958933197,
108,396.9370786532126,
109,43.97284152885904,
110,52.50064590034198,
111,245.8129649514298,
112,397.7155563851047,
113,357.4443608497996,
114,37.93491571248279,
115,317.55184301396747,
116,20.93442392297694,
117,351.79425788614316,
118,240.2519503396805,
119,72.092578132076,
120,42.850662246101066,
121,12.210635333894711,
122,86.64977417317344,
123,507.6724433592386,
124,180.99007163061407,
125,61.47904494922391,
127,647.9134520937289,
128,99.60155217213223,
129,24.965604465833636,
130,237.96778607262382,
131,56.323528801251896,
132,241.70682804761955,
133,373.388107375137,
134,22.434842924639824,
135,450.8526604103573,
136,71.60860998569804,
137,92.39575450284616,
138,336.7448916617933,
139,32.462554852579004,
140,56.23012320750908,
141,23.800483686190862,
142,350.391610014281,
143,147.6956618163447,
144,276.87599490391517,
145,56.05082415914858,
146,10.444367429207219,
147,24.813435384153962,
148,242.17143577243158,
149,65.64122945122625,
150,203.5846386384734,
151,14.000000000000004,
152,37.61397640775036,
153,246.6537224049541,
154,74.26335502910885,
155,69.78449448296914,
156,207.2749820712859,
157,185.4987807544842,
158,79.71575454272929,
159,158.03745315766952,
160,13.561828343397671,
161,62.689248541235344,
162,33.06015795533474,
163,288.2890327933835,
164,80.2849918399075,
165,121.10660663536339,
166,95.05693924234892,
167,276.20589739702496,
168,21.986135063461425,
169,82.15824188581128,
170,54.34350066463586,
171,22.827085186078747,
172,85.00747057858524,
173,49.427003385737606,
174,35.89239218404823,
175,23.355472844490283,
177,16.38100688905402,
178,19.7819675623879,
179,11.372352694951513,
180,383.7130698078516,
181,45.903316880978444,
184,85.26244142757903,
185,2.2882456112707366,
186,9.93729996709972,
187,18.09106817180944,
188,59.88287440534453,
189,4.295106165035984,
190,61.03520224040066,
191,496.5922073594031,
192,14.941743566231285,
193,52.312397419113225,
194,12.949459671339861,
195,30.070882210483468,
196,17.241326426747886,
197,15.643516722588544,
198,92.02034611167198,
199,208.09224157476862,
200,55.28360510069125,
201,931.1528146529037,
202,56.03630224965096,
203,17.784785837962104,
204,27.39046871206507,
205,156.6841468814731,
207,68.72031383618338,
208,173.7175386149673,
209,6.435590533515403,
211,26.811133352562262,
212,9.980714491560418,
213,117.21373223755855,
214,21.617893992976377,
215,10.415673183374622,
217,1101.5115452112627,
218,134.89616931213564,
219,87.55600748061276,
220,26.599018087828867,
221,28.532703255110004,
222,6.000000000000002,
224,17.21613132040152,
225,96.1625683653501,
226,30.88625643100126,
228,41.10352001974082,
230,121.80782354430922,
235,58.24005429667773,
236,31.000000000000007,
237,45.619922059696776,
238,207.9945083311817,
240,28.53660014357475,
241,130.99999999999994,
242,77.6593964257586,
243,20.243513866578418,
244,16.36659733796371,
246,14.380478714843223,
247,8.43301534810307,
249,9.96672745475193,
251,9.01476404161852,
252,4.148626586103885,
256,28.455031255496163,
257,146.79840961734914,
263,16.985006631606424,
265,14.436816756778402,
269,9.949480835811872,
271,87.7898327778245,
273,113.01331531730267,
274,132.65683072336606,
275,25.686743716090145,
276,88.32772380751899,
282,7.162277660168382,
283,99.61142720913644,
286,14.399170196499723,
289,179.67361112766616,
290,9.591663046625444,
295,19.704795526603828,
298,31.945731274456392,
